po_number,supplier_name,supplier_id,minority_supplier_certificate,sustainability_rating,financial_health_score,service_name,parent_category,category,description,catalog_id,route,equipment,total_weight_lbs,quantity,dimensions,distance_miles,base_rate_per_mile,fuel_surcharge,detention_rate_per_hour,liftgate_service_rate,total_estimated_cost,contract_utilised,payment_terms,currency,unit_of_measure,country,po_date,pickup_date,delivery_date,"
actual_receipt_date",special_instructions,additional_terms_and_conditions,additional_services,contract_id,contract_value,contract_term,contract_start_date,contract_end_date,authorized_by,ship_from,ship_from_address,ship_to,ship_to_address,department,cost_center,gl_account_id,requester
PO9902,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.5,0.17,79,0.11,6844,6844.44875,Net 60 days,USD,plt,US,3/26/2023,3/30/2023,4/1/2023,4/1/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9909,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.5,0.17,79,0.11,6844,6844.44875,Net 60 days,USD,plt,US,4/5/2023,4/8/2023,4/11/2023,4/11/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9907,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.5,0.17,79,0.11,11122,11122.22825,Net 60 days,USD,plt,US,5/8/2023,5/10/2023,5/13/2023,5/13/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9901,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,8000,8,48 x 40 x 60 (per pallet),327,2.5,0.17,79,0.11,13591,13591.118,Net 60 days,USD,plt,US,5/12/2023,5/16/2023,5/18/2023,5/18/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9910,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.5,0.17,79,0.11,6844,6844.44875,Net 60 days,USD,plt,US,6/9/2023,6/11/2023,6/14/2023,6/14/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9911,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.5,0.17,79,0.11,6844,6844.44875,Net 60 days,USD,plt,US,6/12/2023,6/15/2023,6/17/2023,6/17/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9903,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.5,0.17,79,0.11,6844,6844.44875,Net 60 days,USD,plt,US,11/2/2023,11/4/2023,11/6/2023,11/6/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9908,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.5,0.17,79,0.11,11122,11122.22825,Net 60 days,USD,plt,US,11/14/2023,11/18/2023,11/21/2023,11/21/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9904,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.5,0.17,79,0.11,6844,6844.44875,Net 60 days,USD,plt,US,11/19/2023,11/21/2023,11/23/2023,11/23/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9906,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.8,0.17,79,0.11,11810,11810.09564,Net 60 days,USD,plt,US,2/27/2024,3/3/2024,3/6/2024,3/6/2024,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
